crid,incident_date,beat_2012_geocoded,complaintcategory,finalfinding,officer_id
1022797,01-Jan-2009  0:08,,03G-MISCELLANEOUS,EX,1
1022797,01-Jan-2009  0:08,,03G-MISCELLANEOUS,EX,2
1022797,01-Jan-2009  0:08,,03G-MISCELLANEOUS,EX,3
1022797,01-Jan-2009  0:08,,03G-MISCELLANEOUS,EX,4
1022797,01-Jan-2009  0:08,,03G-MISCELLANEOUS,EX,5
1022797,01-Jan-2009  0:08,,03G-MISCELLANEOUS,EX,6
1022797,01-Jan-2009  0:08,,03G-MISCELLANEOUS,EX,7
1022797,01-Jan-2009  0:08,,03G-MISCELLANEOUS,EX,8
1022845,02-Jan-2009  20:30,0524,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",UN,9
1022845,02-Jan-2009  20:30,0524,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",UN,10
1022870,03-Jan-2009  0:20,0621,04E-PRISONER'S PROPERTY - INVENTORY/RECEIPT,NAF,11
1022871,01-Jan-2009  18:30,2411,03B-SEARCH OF PERSON WITHOUT WARRANT,UN,12
1022871,01-Jan-2009  18:30,2411,01A-USE OF PROFANITY,UN,13
1022871,01-Jan-2009  18:30,2411,05L-UNNECESSARY PHYSICAL CONTACT - ON DUTY,UN,14
1022871,01-Jan-2009  18:30,2411,05A-ARRESTEE - DURING ARREST,UN,15
1022871,01-Jan-2009  18:30,2411,05A-ARRESTEE - DURING ARREST,UN,16
1022875,03-Jan-2009  0:00,0631,05A-ARRESTEE - DURING ARREST,NS,17
1022875,03-Jan-2009  0:00,0631,05A-ARRESTEE - DURING ARREST,NS,18
1022890,04-Jan-2009  20:10,2413,03G-MISCELLANEOUS,NAF,19
1022899,05-Jan-2009  17:50,0823,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,20
1022899,05-Jan-2009  17:50,0823,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,21
1022909,02-Jan-2009  16:00,,04B-ARREST/IMPROPER,UN,22
1022909,02-Jan-2009  16:00,,04B-ARREST/IMPROPER,UN,23
1022909,02-Jan-2009  16:00,,04B-ARREST/IMPROPER,UN,24
1022909,02-Jan-2009  16:00,,04B-ARREST/IMPROPER,UN,25
1022909,02-Jan-2009  16:00,,04B-ARREST/IMPROPER,UN,26
1022909,02-Jan-2009  16:00,,04B-ARREST/IMPROPER,UN,27
1022909,02-Jan-2009  16:00,,04B-ARREST/IMPROPER,UN,28
1022909,02-Jan-2009  16:00,,04B-ARREST/IMPROPER,UN,29
1022909,02-Jan-2009  16:00,,04B-ARREST/IMPROPER,UN,30
1022909,02-Jan-2009  16:00,,04B-ARREST/IMPROPER,UN,31
1022909,02-Jan-2009  16:00,,04B-ARREST/IMPROPER,UN,32
1022909,02-Jan-2009  16:00,,04B-ARREST/IMPROPER,UN,33
1022909,02-Jan-2009  16:00,,04B-ARREST/IMPROPER,UN,34
1022913,06-Jan-2009  0:00,0932,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,35
1022913,06-Jan-2009  0:00,0932,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,36
1022913,06-Jan-2009  0:00,0932,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,37
1022944,07-Jan-2009  0:00,0531,05L-UNNECESSARY PHYSICAL CONTACT - ON DUTY,NA,38
1022944,07-Jan-2009  0:00,0531,05L-UNNECESSARY PHYSICAL CONTACT - ON DUTY,NA,39
1022944,07-Jan-2009  0:00,0531,05A-ARRESTEE - DURING ARREST,NA,40
1022944,07-Jan-2009  0:00,0531,05L-UNNECESSARY PHYSICAL CONTACT - ON DUTY,NA,41
1022950,06-Jan-2009  0:00,1014,05L-UNNECESSARY PHYSICAL CONTACT - ON DUTY,NS,42
1022974,07-Jan-2009  0:00,0511,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,43
1022974,07-Jan-2009  0:00,0511,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,44
1022988,08-Jan-2009  13:00,1024,03D-ILLEGAL ARREST,NAF,45
1022988,08-Jan-2009  13:00,1024,03D-ILLEGAL ARREST,NAF,46
1022990,08-Jan-2009  18:00,0621,03G-MISCELLANEOUS,NAF,47
1023009,04-Jan-2009  0:00,,05A-ARRESTEE - DURING ARREST,UN,48
1023020,09-Jan-2009  19:20,0323,03B-SEARCH OF PERSON WITHOUT WARRANT,NAF,49
1023020,09-Jan-2009  19:20,0323,03B-SEARCH OF PERSON WITHOUT WARRANT,NAF,50
1023022,09-Jan-2009  20:54,0634,05A-ARRESTEE - DURING ARREST,NS,51
1023022,09-Jan-2009  20:54,0634,05A-ARRESTEE - DURING ARREST,NS,52
1023022,09-Jan-2009  20:54,0634,05A-ARRESTEE - DURING ARREST,NS,53
1023041,10-Jan-2009  12:00,1024,03D-ILLEGAL ARREST,NAF,45
1023041,10-Jan-2009  12:00,1024,03D-ILLEGAL ARREST,NAF,46
1023043,01-Jan-2009  3:37,1524,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,NS,3
1023043,01-Jan-2009  3:37,1524,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,NS,6
1023043,01-Jan-2009  3:37,1524,05A-ARRESTEE - DURING ARREST,NS,54
1023043,01-Jan-2009  3:37,1524,05A-ARRESTEE - DURING ARREST,NS,55
1023048,09-Jan-2009  21:30,0321,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,UN,56
1023048,09-Jan-2009  21:30,0321,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,UN,57
1023079,12-Jan-2009  22:45,0312,03G-MISCELLANEOUS,NS,58
1023079,12-Jan-2009  22:45,0312,03G-MISCELLANEOUS,NS,59
1023079,12-Jan-2009  22:45,0312,03G-MISCELLANEOUS,NS,60
1023079,12-Jan-2009  22:45,0312,03G-MISCELLANEOUS,NS,61
1023085,07-Jan-2009  17:25,0621,03G-MISCELLANEOUS,NAF,62
1023085,07-Jan-2009  17:25,0621,03G-MISCELLANEOUS,NAF,63
1023101,11-Jan-2009  5:30,1212,07F-MISCELLANEOUS,NAF,64
1023141,13-Jan-2009  0:00,0311,04E-PRISONER'S PROPERTY - INVENTORY/RECEIPT,UN,65
1023141,13-Jan-2009  0:00,0311,04E-PRISONER'S PROPERTY - INVENTORY/RECEIPT,UN,66
1023175,16-Jan-2009  18:30,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,67
1023175,16-Jan-2009  18:30,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,68
1023183,16-Jan-2009  0:00,0321,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",NS,69
1023183,16-Jan-2009  0:00,0321,10Y-ACT TO CIRCUMVENT PROPER ADMINISTRATIVE ACTION,SU,70
1023196,18-Jan-2009  0:00,0611,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,71
1023196,18-Jan-2009  0:00,0611,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,72
1023208,11-Jan-2009  21:25,0512,05A-ARRESTEE - DURING ARREST,NAF,73
1023236,20-Jan-2009  18:40,1213,04F-ESCAPE,SU,74
1023236,20-Jan-2009  18:40,1213,04F-ESCAPE,SU,75
1023239,20-Jan-2009  18:30,0512,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",UN,48
1023239,20-Jan-2009  18:30,0512,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",UN,76
1023239,20-Jan-2009  18:30,0512,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",UN,77
1023246,20-Jan-2009  20:30,0412,03G-MISCELLANEOUS,NAF,78
1023246,20-Jan-2009  20:30,0412,03G-MISCELLANEOUS,NAF,79
1023247,20-Jan-2009  21:00,2431,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",NS,80
1023247,20-Jan-2009  21:00,2431,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",UN,15
1023250,20-Jan-2009  20:49,2422,03G-MISCELLANEOUS,NAF,80
1023250,20-Jan-2009  20:49,2422,03G-MISCELLANEOUS,NAF,15
1023254,21-Jan-2009  2:45,,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,81
1023254,21-Jan-2009  2:45,,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,82
1023268,04-Jan-2009  0:00,2522,04E-PRISONER'S PROPERTY - INVENTORY/RECEIPT,NAF,83
1023268,04-Jan-2009  0:00,2522,04E-PRISONER'S PROPERTY - INVENTORY/RECEIPT,NAF,84
1023273,21-Jan-2009  19:00,,03G-MISCELLANEOUS,NAF,85
1023273,21-Jan-2009  19:00,,03G-MISCELLANEOUS,NAF,86
1023273,21-Jan-2009  19:00,,03G-MISCELLANEOUS,NAF,87
1023273,21-Jan-2009  19:00,,03G-MISCELLANEOUS,NAF,88
1023273,21-Jan-2009  19:00,,03G-MISCELLANEOUS,NAF,89
1023273,21-Jan-2009  19:00,,03G-MISCELLANEOUS,NAF,90
1023273,21-Jan-2009  19:00,,03G-MISCELLANEOUS,NAF,91
1023273,21-Jan-2009  19:00,,03G-MISCELLANEOUS,NAF,92
1023273,21-Jan-2009  19:00,,03G-MISCELLANEOUS,NAF,93
1023273,21-Jan-2009  19:00,,03G-MISCELLANEOUS,NAF,94
1023273,21-Jan-2009  19:00,,03G-MISCELLANEOUS,NAF,95
1023273,21-Jan-2009  19:00,,03G-MISCELLANEOUS,NAF,96
1023280,20-Jan-2009  18:15,0633,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",NAF,97
1023280,20-Jan-2009  18:15,0633,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",NAF,98
1023301,22-Jan-2009  10:30,0623,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,99
1023308,22-Jan-2009  20:01,1124,05H-MISCELLANEOUS,NS,100
1023308,22-Jan-2009  20:01,1124,05H-MISCELLANEOUS,NS,101
1023315,23-Jan-2009  0:00,0732,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,NS,102
1023329,23-Jan-2009  17:00,,10T-REPORTS - FAILED TO SUBMIT/IMPROPER,NAF,9
1023329,23-Jan-2009  17:00,,10T-REPORTS - FAILED TO SUBMIT/IMPROPER,NAF,103
1023352,24-Jan-2009  16:15,,03G-MISCELLANEOUS,NAF,104
1023352,24-Jan-2009  16:15,,03G-MISCELLANEOUS,NAF,105
1023352,24-Jan-2009  16:15,,03G-MISCELLANEOUS,NAF,106
1023357,24-Jan-2009  13:30,0321,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,NS,107
1023357,24-Jan-2009  13:30,0321,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,NS,108
1023357,24-Jan-2009  13:30,0321,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,NS,109
1023357,24-Jan-2009  13:30,0321,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,SU,110
1023357,24-Jan-2009  13:30,0321,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,SU,111
1023357,24-Jan-2009  13:30,0321,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,NS,70
1023357,24-Jan-2009  13:30,0321,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,NS,112
1023357,24-Jan-2009  13:30,0321,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,SU,113
1023357,24-Jan-2009  13:30,0321,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,SU,114
1023357,24-Jan-2009  13:30,0321,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,SU,115
1023357,24-Jan-2009  13:30,0321,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,NS,116
1023357,24-Jan-2009  13:30,0321,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,SU,117
1023357,24-Jan-2009  13:30,0321,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,NS,118
1023357,24-Jan-2009  13:30,0321,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,SU,119
1023405,24-Jan-2009  21:30,0324,10Z-MISCELLANEOUS,NAF,49
1023405,24-Jan-2009  21:30,0324,10Z-MISCELLANEOUS,NAF,50
1023422,24-Jan-2009  19:30,0321,10Z-MISCELLANEOUS,NS,104
1023422,24-Jan-2009  19:30,0321,10Z-MISCELLANEOUS,NS,120
1023422,24-Jan-2009  19:30,0321,10Z-MISCELLANEOUS,NS,121
1023422,24-Jan-2009  19:30,0321,10Z-MISCELLANEOUS,NS,122
1023422,24-Jan-2009  19:30,0321,10Z-MISCELLANEOUS,NS,123
1023422,24-Jan-2009  19:30,0321,10Z-MISCELLANEOUS,NS,124
1023422,24-Jan-2009  19:30,0321,10Z-MISCELLANEOUS,NS,125
1023434,27-Jan-2009  13:00,,03D-ILLEGAL ARREST,NAF,126
1023434,27-Jan-2009  13:00,,03D-ILLEGAL ARREST,NAF,127
1023434,27-Jan-2009  13:00,,03D-ILLEGAL ARREST,NAF,128
1023434,27-Jan-2009  13:00,,03D-ILLEGAL ARREST,NAF,129
1023434,27-Jan-2009  13:00,,03D-ILLEGAL ARREST,NAF,130
1023434,27-Jan-2009  13:00,,03D-ILLEGAL ARREST,NAF,131
1023434,27-Jan-2009  13:00,,03D-ILLEGAL ARREST,NAF,132
1023435,21-Jan-2009  16:00,,10Z-MISCELLANEOUS,NAF,133
1023435,21-Jan-2009  16:00,,10Z-MISCELLANEOUS,NAF,134
1023435,21-Jan-2009  16:00,,10Z-MISCELLANEOUS,NAF,135
1023435,21-Jan-2009  16:00,,10Z-MISCELLANEOUS,NAF,136
1023435,21-Jan-2009  16:00,,10Z-MISCELLANEOUS,NAF,137
1023435,21-Jan-2009  16:00,,10Z-MISCELLANEOUS,NAF,138
1023435,21-Jan-2009  16:00,,10Z-MISCELLANEOUS,NAF,139
1023435,21-Jan-2009  16:00,,10Z-MISCELLANEOUS,NAF,140
1023435,21-Jan-2009  16:00,,10Z-MISCELLANEOUS,NAF,141
1023438,28-Jan-2009  11:05,1124,05A-ARRESTEE - DURING ARREST,NS,142
1023438,28-Jan-2009  11:05,1124,05A-ARRESTEE - DURING ARREST,NS,132
1023450,27-Jan-2009  17:30,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,143
1023450,27-Jan-2009  17:30,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,144
1023450,27-Jan-2009  17:30,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,145
1023450,27-Jan-2009  17:30,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,146
1023450,27-Jan-2009  17:30,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,147
1023450,27-Jan-2009  17:30,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,148
1023450,27-Jan-2009  17:30,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,149
1023450,27-Jan-2009  17:30,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,150
1023450,27-Jan-2009  17:30,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,151
1023450,27-Jan-2009  17:30,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,152
1023450,27-Jan-2009  17:30,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,153
1023450,27-Jan-2009  17:30,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,154
1023450,27-Jan-2009  17:30,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,155
1023450,27-Jan-2009  17:30,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,156
1023458,28-Jan-2009  21:30,0413,05M-UNNECESSARY PHYSICAL CONTACT - OFF DUTY,NS,157
1023472,28-Jan-2009  0:00,1533,03D-ILLEGAL ARREST,NAF,158
1023472,28-Jan-2009  0:00,1533,03D-ILLEGAL ARREST,NAF,159
1023472,28-Jan-2009  0:00,1533,03D-ILLEGAL ARREST,NAF,160
1023472,28-Jan-2009  0:00,1533,03D-ILLEGAL ARREST,NAF,161
1023484,30-Jan-2009  3:00,,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",UN,162
1023484,30-Jan-2009  3:00,,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",UN,163
1023490,28-Jan-2009  1:00,0924,03G-MISCELLANEOUS,NAF,164
1023490,28-Jan-2009  1:00,0924,03G-MISCELLANEOUS,NAF,36
1023494,04-Jan-2009  13:00,0711,05A-ARRESTEE - DURING ARREST,NS,165
1023494,04-Jan-2009  13:00,0711,05A-ARRESTEE - DURING ARREST,NS,166
1023505,23-Jan-2009  0:00,2515,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,167
1023505,23-Jan-2009  0:00,2515,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,168
1023510,30-Jan-2009  21:45,0633,05L-UNNECESSARY PHYSICAL CONTACT - ON DUTY,NS,169
1023514,30-Jan-2009  14:00,,05N-WEAPON - UNNECESSARY DISPLAY OF,NS,170
1023514,30-Jan-2009  14:00,,05N-WEAPON - UNNECESSARY DISPLAY OF,NS,171
1023514,30-Jan-2009  14:00,,05N-WEAPON - UNNECESSARY DISPLAY OF,NS,172
1023514,30-Jan-2009  14:00,,05N-WEAPON - UNNECESSARY DISPLAY OF,NS,43
1023514,30-Jan-2009  14:00,,05N-WEAPON - UNNECESSARY DISPLAY OF,NS,44
1023514,30-Jan-2009  14:00,,05N-WEAPON - UNNECESSARY DISPLAY OF,NS,173
1023547,31-Jan-2009  0:00,0915,05A-ARRESTEE - DURING ARREST,NS,174
1023547,31-Jan-2009  0:00,0915,05A-ARRESTEE - DURING ARREST,NS,35
1023547,31-Jan-2009  0:00,0915,05A-ARRESTEE - DURING ARREST,NS,175
1023561,02-Feb-2009  11:00,,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",NS,121
1023561,02-Feb-2009  11:00,,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",NS,125
1023578,27-Jan-2009  20:15,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,UN,176
1023578,27-Jan-2009  20:15,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,UN,177
1023578,27-Jan-2009  20:15,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,UN,178
1023578,27-Jan-2009  20:15,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,UN,179
1023578,27-Jan-2009  20:15,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,UN,180
1023578,27-Jan-2009  20:15,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,UN,181
1023578,27-Jan-2009  20:15,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,UN,182
1023578,27-Jan-2009  20:15,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,UN,183
1023578,27-Jan-2009  20:15,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,UN,184
1023578,27-Jan-2009  20:15,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,UN,185
1023578,27-Jan-2009  20:15,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,UN,186
1023578,27-Jan-2009  20:15,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,UN,187
1023578,27-Jan-2009  20:15,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,UN,188
1023578,27-Jan-2009  20:15,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,UN,189
1023578,27-Jan-2009  20:15,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,UN,190
1023622,03-Feb-2009  21:00,0421,05A-ARRESTEE - DURING ARREST,NS,191
1023622,03-Feb-2009  21:00,0421,05A-ARRESTEE - DURING ARREST,NS,192
1023625,04-Feb-2009  0:00,1711,03B-SEARCH OF PERSON WITHOUT WARRANT,NAF,193
1023633,04-Feb-2009  10:30,1122,03D-ILLEGAL ARREST,EX,127
1023633,04-Feb-2009  10:30,1122,03D-ILLEGAL ARREST,EX,194
1023633,04-Feb-2009  10:30,1122,03D-ILLEGAL ARREST,EX,131
1023645,04-Feb-2009  22:30,,03G-MISCELLANEOUS,NS,195
1023645,04-Feb-2009  22:30,,03G-MISCELLANEOUS,NS,196
1023645,04-Feb-2009  22:30,,03G-MISCELLANEOUS,NS,197
1023645,04-Feb-2009  22:30,,03G-MISCELLANEOUS,NS,198
1023645,04-Feb-2009  22:30,,03G-MISCELLANEOUS,NS,199
1023645,04-Feb-2009  22:30,,03G-MISCELLANEOUS,NS,200
1023645,04-Feb-2009  22:30,,03G-MISCELLANEOUS,NS,201
1023645,04-Feb-2009  22:30,,03G-MISCELLANEOUS,NS,202
1023645,04-Feb-2009  22:30,,03G-MISCELLANEOUS,NS,203
1023645,04-Feb-2009  22:30,,03G-MISCELLANEOUS,NS,204
1023645,04-Feb-2009  22:30,,03G-MISCELLANEOUS,NS,205
1023645,04-Feb-2009  22:30,,03G-MISCELLANEOUS,NS,206
1023675,06-Feb-2009  0:00,0812,09B-ALTERCATION/DISTURBANCE - NEIGHBOR,NAF,207
1023699,06-Feb-2009  20:30,2221,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,208
1023699,06-Feb-2009  20:30,2221,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,63
1023714,08-Feb-2009  0:50,,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",EX,209
1023714,08-Feb-2009  0:50,,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",EX,210
1023714,08-Feb-2009  0:50,,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",EX,211
1023714,08-Feb-2009  0:50,,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",EX,212
1023714,08-Feb-2009  0:50,,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",EX,125
1023735,03-Feb-2009  0:00,,"01B-RACIAL/ETHNIC, ETC.",NS,213
1023736,27-Jan-2009  18:00,1424,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,NAF,45
1023761,09-Feb-2009  21:10,,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,NAF,214
1023761,09-Feb-2009  21:10,,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,NAF,215
1023771,05-Feb-2009  0:00,,10Z-MISCELLANEOUS,NA,216
1023771,05-Feb-2009  0:00,,10Z-MISCELLANEOUS,NA,217
1023772,10-Feb-2009  11:45,,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",NS,218
1023778,03-Feb-2009  0:00,0311,05A-ARRESTEE - DURING ARREST,NS,71
1023778,03-Feb-2009  0:00,0311,05A-ARRESTEE - DURING ARREST,NS,72
1023795,10-Feb-2009  0:00,1133,05N-WEAPON - UNNECESSARY DISPLAY OF,NS,219
1023795,10-Feb-2009  0:00,1133,05N-WEAPON - UNNECESSARY DISPLAY OF,NS,220
1023795,10-Feb-2009  0:00,1133,05N-WEAPON - UNNECESSARY DISPLAY OF,UN,221
1023811,10-Feb-2009  18:00,1424,"08B-ASSAULT/BATTERY, ETC.",NAF,45
1023815,05-Feb-2009  10:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,126
1023815,05-Feb-2009  10:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,222
1023815,05-Feb-2009  10:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,223
1023815,05-Feb-2009  10:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,224
1023815,05-Feb-2009  10:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,130
1023815,05-Feb-2009  10:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,194
1023815,05-Feb-2009  10:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,142
1023815,05-Feb-2009  10:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,225
1023815,05-Feb-2009  10:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,131
1023815,05-Feb-2009  10:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,226
1023815,05-Feb-2009  10:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NAF,227
1023835,12-Feb-2009  2:00,,03G-MISCELLANEOUS,NAF,228
1023835,12-Feb-2009  2:00,,03G-MISCELLANEOUS,NAF,229
1023835,12-Feb-2009  2:00,,03G-MISCELLANEOUS,NAF,230
1023835,12-Feb-2009  2:00,,03G-MISCELLANEOUS,NAF,231
1023835,12-Feb-2009  2:00,,03G-MISCELLANEOUS,NAF,232
1023835,12-Feb-2009  2:00,,03G-MISCELLANEOUS,NAF,233
1023835,12-Feb-2009  2:00,,03G-MISCELLANEOUS,NAF,234
1023835,12-Feb-2009  2:00,,03G-MISCELLANEOUS,NAF,235
1023835,12-Feb-2009  2:00,,03G-MISCELLANEOUS,NAF,236
1023835,12-Feb-2009  2:00,,03G-MISCELLANEOUS,NAF,237
1023835,12-Feb-2009  2:00,,03G-MISCELLANEOUS,NAF,238
1023845,12-Feb-2009  0:00,0931,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,UN,239
1023845,12-Feb-2009  0:00,0931,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,UN,240
1023857,13-Feb-2009  1:29,1024,03D-ILLEGAL ARREST,NAF,241
1023857,13-Feb-2009  1:29,1024,03D-ILLEGAL ARREST,NAF,242
1023870,13-Feb-2009  13:30,0221,03G-MISCELLANEOUS,NAF,243
1023870,13-Feb-2009  13:30,0221,03G-MISCELLANEOUS,NAF,244
1023870,13-Feb-2009  13:30,0221,03G-MISCELLANEOUS,NAF,245
1023870,13-Feb-2009  13:30,0221,03G-MISCELLANEOUS,NAF,246
1023891,14-Feb-2009  11:00,,03G-MISCELLANEOUS,UN,247
1023891,14-Feb-2009  11:00,,03G-MISCELLANEOUS,UN,248
1023891,14-Feb-2009  11:00,,03G-MISCELLANEOUS,UN,249
1023891,14-Feb-2009  11:00,,03G-MISCELLANEOUS,UN,250
1023891,14-Feb-2009  11:00,,03G-MISCELLANEOUS,UN,251
1023891,14-Feb-2009  11:00,,03G-MISCELLANEOUS,UN,252
1023891,14-Feb-2009  11:00,,03G-MISCELLANEOUS,UN,253
1023891,14-Feb-2009  11:00,,03G-MISCELLANEOUS,UN,254
1023891,14-Feb-2009  11:00,,03G-MISCELLANEOUS,UN,255
1023891,14-Feb-2009  11:00,,03G-MISCELLANEOUS,UN,256
1023891,14-Feb-2009  11:00,,03G-MISCELLANEOUS,UN,257
1023891,14-Feb-2009  11:00,,03G-MISCELLANEOUS,UN,258
1023891,14-Feb-2009  11:00,,03G-MISCELLANEOUS,UN,259
1023893,14-Feb-2009  19:30,2433,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NA,260
